# Serie EXTRAPOLATA - VW Touran 2.0 TDI (BKD) pe ciclul R_A — urban central (Brătianu–Ferdinand–Mamaia)
# Ciclul v(t) este masurat; consumul si CO2 sunt calculate cu modelul Willans calibrat pe masuratorile proprii ale vehiculului.
# Incertitudine estimata +/-10% (+/-15% peste 90 km/h pentru vehiculul MAS, in afara domeniului de calibrare).
t_s,v_kmh,a_ms2,dist_cum_m,debit_comb_g_s,consum_cum_l,CO2_g_s,CO2_cum_g
0,0.0,0.0,0.0,0.1276,0.0002,0.4031,0.4
1,0.0,0.0,0.0,0.1276,0.0003,0.4031,0.8
2,0.0,0.0,0.0,0.1276,0.0005,0.4031,1.2
3,0.0,0.0,0.0,0.1276,0.0006,0.4031,1.6
4,0.0,0.0,0.0,0.1276,0.0008,0.4031,2.0
5,0.0,0.0,0.0,0.1276,0.0009,0.4031,2.4
6,0.0,0.0,0.0,0.1276,0.0011,0.4031,2.8
7,0.0,0.0,0.0,0.1276,0.0012,0.4031,3.2
8,0.0,0.0,0.0,0.1276,0.0014,0.4031,3.6
9,0.0,0.0,0.0,0.1276,0.0015,0.4031,4.0
10,0.0,0.0,0.0,0.1276,0.0017,0.4031,4.4
11,0.0,0.0,0.0,0.1276,0.0018,0.4031,4.8
12,0.0,0.0153,0.0,0.1276,0.002,0.4031,5.2
13,0.11,0.1736,0.0,0.1276,0.0021,0.4031,5.6
14,1.25,0.4833,0.4,0.1145,0.0023,0.3618,6.0
15,3.59,0.9722,1.4,0.222,0.0025,0.7014,6.7
16,8.25,1.0861,3.7,0.4335,0.0031,1.3699,8.1
17,11.41,0.7542,6.8,0.4431,0.0036,1.4001,9.5
18,13.68,0.2931,10.6,0.308,0.004,0.9733,10.5
19,13.52,-0.1167,14.4,0.1238,0.0041,0.3912,10.8
20,12.84,-0.4153,18.0,0.1198,0.0043,0.3785,11.2
21,10.53,-0.6708,20.9,0.1116,0.0044,0.3526,11.6
22,8.01,-0.7597,23.1,0.1037,0.0045,0.3275,11.9
23,5.06,-0.7431,24.5,0.0961,0.0046,0.3038,12.2
24,2.66,-0.6236,25.3,0.0903,0.0047,0.2855,12.5
25,0.57,-0.3694,25.4,0.1276,0.0049,0.4031,12.9
26,0.0,-0.0792,25.4,0.1276,0.005,0.4031,13.3
27,0.0,0.0,25.4,0.1276,0.0052,0.4031,13.7
28,0.0,0.0,25.4,0.1276,0.0053,0.4031,14.1
29,0.0,0.0,25.4,0.1276,0.0055,0.4031,14.5
30,0.0,0.0,25.4,0.1276,0.0056,0.4031,14.9
31,0.0,0.0,25.4,0.1276,0.0058,0.4031,15.3
32,0.0,0.0,25.4,0.1276,0.006,0.4031,15.7
33,0.0,0.0,25.4,0.1276,0.0061,0.4031,16.1
34,0.0,0.0,25.4,0.1276,0.0063,0.4031,16.5
35,0.0,0.0,25.4,0.1276,0.0064,0.4031,16.9
36,0.0,0.0,25.4,0.1276,0.0066,0.4031,17.3
37,0.0,0.0,25.4,0.1276,0.0067,0.4031,17.7
38,0.0,0.0,25.4,0.1276,0.0069,0.4031,18.1
39,0.0,0.3222,25.4,0.1276,0.007,0.4031,18.5
40,2.32,0.6986,26.1,0.1523,0.0072,0.4812,19.0
41,5.03,0.7667,27.5,0.2427,0.0075,0.767,19.8
42,7.84,0.6319,29.6,0.2965,0.0079,0.9369,20.7
43,9.58,-0.0056,32.3,0.1404,0.008,0.4437,21.2
44,7.8,-0.2264,34.5,0.103,0.0081,0.3255,21.5
45,7.95,0.2597,36.7,0.2004,0.0084,0.6333,22.1
46,9.67,0.2194,39.4,0.2139,0.0086,0.676,22.8
47,9.53,-0.0875,42.0,0.1139,0.0088,0.36,23.2
48,9.04,0.0097,44.5,0.1415,0.0089,0.4471,23.6
49,9.6,0.0667,47.2,0.1638,0.0091,0.5176,24.1
50,9.52,-0.2514,49.8,0.1084,0.0093,0.3425,24.5
51,7.79,-0.5958,52.0,0.103,0.0094,0.3254,24.8
52,5.23,-0.8125,53.4,0.0966,0.0095,0.3051,25.1
53,1.94,-0.6431,54.0,0.0899,0.0096,0.2842,25.4
54,0.6,-0.2639,54.1,0.1276,0.0098,0.4031,25.8
55,0.04,-0.0833,54.2,0.1276,0.0099,0.4031,26.2
56,0.0,-0.0056,54.2,0.1276,0.0101,0.4031,26.6
57,0.0,0.0,54.2,0.1276,0.0102,0.4031,27.0
58,0.0,0.0,54.2,0.1276,0.0104,0.4031,27.4
59,0.0,0.0,54.2,0.1276,0.0105,0.4031,27.8
60,0.0,0.1333,54.2,0.1276,0.0107,0.4031,28.2
61,0.96,0.4361,54.4,0.1276,0.0108,0.4031,28.6
62,3.14,0.5167,55.3,0.1567,0.011,0.4952,29.1
63,4.68,0.3681,56.6,0.1691,0.0112,0.5345,29.6
64,5.79,0.425,58.2,0.2005,0.0115,0.6334,30.3
65,7.74,0.5722,60.4,0.2782,0.0118,0.8792,31.1
66,9.91,0.3139,63.1,0.2487,0.0121,0.7858,31.9
67,10.0,-0.1694,65.9,0.1099,0.0122,0.3473,32.3
68,8.69,-0.7542,68.3,0.1058,0.0124,0.3343,32.6
69,4.57,-0.9417,69.6,0.095,0.0125,0.3001,32.9
70,1.91,-0.6153,70.1,0.0899,0.0126,0.2842,33.2
71,0.14,-0.2653,70.1,0.1276,0.0127,0.4031,33.6
72,0.0,-0.0194,70.1,0.1276,0.0129,0.4031,34.0
73,0.0,0.0,70.1,0.1276,0.013,0.4031,34.4
74,0.0,0.0,70.1,0.1276,0.0132,0.4031,34.8
75,0.0,0.0,70.1,0.1276,0.0133,0.4031,35.2
76,0.0,0.0,70.1,0.1276,0.0135,0.4031,35.6
77,0.0,0.0,70.1,0.1276,0.0137,0.4031,36.0
78,0.0,0.0,70.1,0.1276,0.0138,0.4031,36.4
79,0.0,0.0,70.1,0.1276,0.014,0.4031,36.8
80,0.0,0.0,70.1,0.1276,0.0141,0.4031,37.2
81,0.0,0.0,70.1,0.1276,0.0143,0.4031,37.6
82,0.0,0.0,70.1,0.1276,0.0144,0.4031,38.0
83,0.0,0.0944,70.1,0.1276,0.0146,0.4031,38.4
84,0.68,0.2486,70.3,0.1276,0.0147,0.4031,38.8
85,1.79,0.5,70.8,0.1261,0.0149,0.3985,39.2
86,4.28,0.7333,72.0,0.2142,0.0151,0.677,39.9
87,7.07,0.6222,74.0,0.273,0.0155,0.8628,40.8
88,8.76,0.4278,76.4,0.2622,0.0158,0.8287,41.6
89,10.15,0.2722,79.2,0.2387,0.0161,0.7542,42.4
90,10.72,0.1181,82.2,0.1924,0.0163,0.6079,43.0
91,11.0,0.0389,85.3,0.1662,0.0165,0.5252,43.5
92,11.0,-0.1833,88.3,0.113,0.0166,0.3572,43.9
93,9.68,-0.4208,91.0,0.1089,0.0168,0.3441,44.2
94,7.97,-0.3167,93.2,0.1035,0.0169,0.3271,44.5
95,7.4,-0.1569,95.3,0.1018,0.017,0.3217,44.8
96,6.84,-0.1556,97.2,0.1005,0.0171,0.3174,45.2
97,6.28,-0.1556,98.9,0.0991,0.0172,0.3131,45.5
98,5.72,-0.1556,100.5,0.0977,0.0174,0.3089,45.8
99,5.16,-0.2139,101.9,0.0964,0.0175,0.3046,46.1
100,4.18,-0.2958,103.1,0.094,0.0176,0.2971,46.4
101,3.03,-0.375,103.9,0.0912,0.0177,0.2883,46.7
102,1.48,-0.4208,104.4,0.0899,0.0178,0.2842,47.0
103,0.0,-0.2056,104.4,0.1276,0.018,0.4031,47.4
104,0.0,0.0,104.4,0.1276,0.0181,0.4031,47.8
105,0.0,0.0,104.4,0.1276,0.0183,0.4031,48.2
106,0.0,0.0,104.4,0.1276,0.0184,0.4031,48.6
107,0.0,0.0,104.4,0.1276,0.0186,0.4031,49.0
108,0.0,0.0,104.4,0.1276,0.0187,0.4031,49.4
109,0.0,0.0,104.4,0.1276,0.0189,0.4031,49.8
110,0.0,0.0,104.4,0.1276,0.019,0.4031,50.2
111,0.0,0.0,104.4,0.1276,0.0192,0.4031,50.6
112,0.0,0.0,104.4,0.1276,0.0193,0.4031,51.0
