# Serie EXTRAPOLATA - Opel Astra H GTC 1.6i 16V (Z16XEP) pe ciclul R_DN3 — mixt (Constanța–Murfatlar–retur)
# Ciclul v(t) este masurat; consumul si CO2 sunt calculate cu modelul Willans calibrat pe masuratorile proprii ale vehiculului.
# Incertitudine estimata +/-10% (+/-15% peste 90 km/h pentru vehiculul MAS, in afara domeniului de calibrare).
t_s,v_kmh,a_ms2,dist_cum_m,debit_comb_g_s,consum_cum_l,CO2_g_s,CO2_cum_g
0,5.0,1.3101,1.4,0.4279,0.0006,1.3564,1.4
1,9.72,1.4697,4.1,0.633,0.0014,2.0067,3.4
2,15.58,1.4113,8.4,0.8462,0.0026,2.6826,6.0
3,19.88,1.3546,13.9,1.0116,0.0039,3.2068,9.3
4,25.33,1.3206,21.0,1.183,0.0055,3.7501,13.0
5,29.39,1.1691,29.1,1.2108,0.0071,3.8382,16.8
6,33.75,1.2998,38.5,1.4393,0.0091,4.5626,21.4
7,38.74,1.2862,49.3,1.6117,0.0112,5.1092,26.5
8,43.01,1.2266,61.2,1.7127,0.0135,5.4293,31.9
9,47.58,0.8315,74.4,1.4613,0.0155,4.6322,36.6
10,49.0,0.1979,88.1,0.8411,0.0166,2.6663,39.2
11,49.0,0.1881,101.7,0.8304,0.0177,2.6324,41.9
12,50.35,0.2394,115.6,0.9086,0.0189,2.8802,44.8
13,50.72,-0.0493,129.7,0.5868,0.0197,1.8602,46.6
14,50.0,-0.1005,143.6,0.5223,0.0204,1.6556,48.3
15,50.0,0.0078,157.5,0.6436,0.0213,2.0401,50.3
16,50.06,0.1389,171.4,0.7911,0.0224,2.5077,52.8
17,51.0,0.1663,185.6,0.8356,0.0235,2.6488,55.5
18,51.25,0.1389,199.8,0.8079,0.0246,2.5611,58.0
19,52.0,0.0671,214.3,0.735,0.0256,2.33,60.4
20,51.74,-0.1389,228.6,0.4931,0.0262,1.563,61.9
21,51.0,-0.0644,242.8,0.5722,0.027,1.8139,63.7
22,51.27,0.0934,257.0,0.756,0.028,2.3966,66.1
23,51.67,-0.0323,271.4,0.6158,0.0288,1.9522,68.1
24,51.04,0.0392,285.6,0.691,0.0298,2.1904,70.3
25,51.95,0.0152,300.0,0.674,0.0307,2.1366,72.4
26,51.15,-0.0542,314.2,0.5854,0.0314,1.8556,74.3
27,51.56,0.0252,328.5,0.681,0.0324,2.1589,76.4
28,51.33,0.0604,342.8,0.7189,0.0333,2.2788,78.7
29,52.0,0.093,357.2,0.7651,0.0344,2.4255,81.1
30,52.0,0.0,371.7,0.6569,0.0352,2.0823,83.2
31,52.0,0.0,386.1,0.6569,0.0361,2.0823,85.3
32,52.0,0.0,400.6,0.6569,0.037,2.0823,87.4
33,52.0,0.0,415.0,0.6569,0.0379,2.0823,89.5
34,52.0,0.0,429.5,0.6569,0.0388,2.0823,91.5
35,52.0,-0.0324,443.9,0.6192,0.0396,1.9627,93.5
36,51.77,-0.0899,458.3,0.5501,0.0403,1.7437,95.2
37,51.35,0.0324,472.6,0.6869,0.0413,2.1775,97.4
38,52.0,0.0899,487.0,0.7615,0.0423,2.4141,99.8
39,52.0,0.0,501.4,0.6569,0.0432,2.0823,101.9
40,52.0,-0.0207,515.9,0.6327,0.044,2.0057,103.9
