t_rel_s,lat_deg,lon_deg,dist_cum_m
206,44.180146,28.635377,400.3
211,44.180161,28.634927,433.5
216,44.180142,28.634402,478.3
221,44.180115,28.634004,511.4
226,44.180112,28.633787,527.0
231,44.180111,28.633701,534.7
236,44.180016,28.633429,557.2
241,44.179917,28.633353,565.7
246,44.17985,28.63327,575.3
251,44.179763,28.632958,604.4
256,44.179635,28.632553,637.3
261,44.17948,28.632059,681.0
266,44.179324,28.63155,731.7
271,44.179092,28.630833,786.9
276,44.17888,28.630194,845.9
281,44.178737,28.629792,880.2
286,44.178723,28.629747,883.8
291,44.178723,28.629747,883.8
296,44.178723,28.629747,883.8
301,44.178723,28.629747,883.8
306,44.178723,28.629747,883.8
311,44.178723,28.629747,883.8
316,44.178723,28.629747,883.8
321,44.178723,28.629747,883.8
326,44.178723,28.629747,883.8
331,44.178672,28.629566,901.2
336,44.17854,28.629156,941.6
341,44.178336,28.628602,985.1
346,44.17817,28.628155,1027.9
351,44.17802,28.62773,1068.1
356,44.177853,28.627156,1113.4
361,44.177727,28.626632,1159.2
366,44.177597,28.626022,1208.2
371,44.177468,28.625444,1258.6
376,44.177355,28.624925,1302.3
381,44.177298,28.624619,1331.4
386,44.177243,28.62438,1351.2
391,44.177182,28.624163,1370.5
396,44.177146,28.623936,1389.3
401,44.177139,28.623776,1399.0
406,44.177178,28.623594,1417.5
411,44.177084,28.623339,1440.9
416,44.176904,28.622976,1479.3
421,44.176796,28.622384,1528.4
426,44.176714,28.621917,1564.8
431,44.176687,28.621838,1571.2
436,44.176687,28.621838,1573.1
441,44.176687,28.621838,1573.1
446,44.176687,28.621838,1574.1
451,44.176662,28.621753,1578.3
456,44.176625,28.621557,1594.7
461,44.176592,28.621193,1621.7
466,44.176582,28.621006,1639.9
471,44.176592,28.620796,1660.5
476,44.176559,28.620539,1679.7
481,44.176532,28.620329,1697.1
486,44.176512,28.62001,1720.3
491,44.176473,28.619597,1749.4
496,44.176442,28.619182,1783.9
501,44.176409,28.618738,1817.7
506,44.176381,28.618257,1855.7
511,44.176351,28.617786,1896.0
516,44.176317,28.61734,1934.4
521,44.176285,28.616865,1968.4
526,44.176285,28.616706,1979.6
531,44.176266,28.616398,2004.1
536,44.176237,28.615919,2047.1
541,44.176283,28.615398,2090.6
546,44.17647,28.614981,2127.1
551,44.176638,28.614663,2161.4
556,44.176776,28.614431,2182.1
561,44.176775,28.614412,2184.2
566,44.176785,28.614382,2187.8
571,44.176785,28.614382,2187.8
576,44.176785,28.614382,2187.8
581,44.176785,28.614382,2187.8
586,44.176785,28.614382,2189.0
591,44.176916,28.614208,2212.5
596,44.17684,28.613963,2233.4
601,44.176551,28.613726,2274.4
606,44.176117,28.613279,2327.3
611,44.175671,28.612811,2393.4
616,44.175179,28.612284,2461.6
621,44.174727,28.611854,2520.5
626,44.174266,28.611393,2588.9
631,44.173775,28.610891,2662.1
636,44.173164,28.610354,2735.1
641,44.172659,28.610102,2802.1
646,44.17203,28.610012,2868.9
651,44.171698,28.60997,2910.1
656,44.171702,28.609981,2912.5
661,44.171491,28.61001,2935.9
666,44.171156,28.609992,2975.1
671,44.17103,28.609951,2991.4
676,44.17064,28.609955,3029.6
681,44.17014,28.609993,3092.8
686,44.169447,28.609898,3173.9
691,44.168542,28.609633,3265.3
696,44.167815,28.609296,3359.4
701,44.167118,28.608849,3453.1
706,44.166356,28.608274,3543.5
711,44.165708,28.607796,3632.0
716,44.165061,28.607292,3715.3
721,44.164429,28.606831,3788.1
726,44.164224,28.606686,3815.0
731,44.164184,28.606831,3833.4
736,44.164629,28.607159,3884.7
741,44.165203,28.607533,3962.5
746,44.166043,28.608132,4059.3
751,44.166795,28.608689,4161.4
756,44.167571,28.609251,4263.2
761,44.168472,28.609676,4356.4
766,44.169146,28.60989,4443.6
771,44.169773,28.610006,4518.6
776,44.170312,28.610042,4570.3
781,44.170472,28.610097,4590.8
786,44.17061,28.610148,4605.7
791,44.17062,28.610148,4606.7
796,44.170714,28.610179,4617.7
801,44.170928,28.610118,4644.9
806,44.170839,28.609639,4684.5
811,44.170786,28.609089,4725.2
816,44.170747,28.608515,4775.4
821,44.170683,28.607709,4845.0
826,44.17062,28.606667,4923.2
831,44.170559,28.605859,4993.6
836,44.170497,28.604982,5061.7
841,44.170474,28.604325,5114.2
846,44.170446,28.603899,5153.3
851,44.170387,28.603074,5212.9
856,44.170343,28.60237,5275.3
861,44.170318,28.601925,5311.5
866,44.170279,28.601393,5350.2
871,44.170251,28.600829,5399.0
876,44.170208,28.600141,5456.6
881,44.170145,28.59937,5520.4
886,44.170078,28.59849,5586.5
891,44.170043,28.597683,5655.6
896,44.169979,28.596783,5724.6
901,44.169923,28.596016,5789.2
906,44.169881,28.595319,5847.7
911,44.169835,28.59462,5900.5
916,44.169832,28.594141,5941.8
921,44.169846,28.593864,5966.7
926,44.169701,28.593797,5990.6
931,44.169767,28.594421,6034.6
936,44.169799,28.595087,6091.6
941,44.169846,28.595807,6151.8
946,44.169927,28.596772,6224.9
951,44.169957,28.597482,6282.3
956,44.169967,28.597639,6296.8
961,44.169943,28.597739,6304.2
966,44.169862,28.597729,6317.3
971,44.169657,28.597583,6348.0
976,44.169189,28.597319,6397.9
981,44.168758,28.597399,6447.8
986,44.168658,28.597433,6462.1
991,44.168414,28.597504,6491.4
996,44.168206,28.597498,6515.3
1001,44.168145,28.597488,6519.7
1006,44.168148,28.597487,6519.7
1011,44.168148,28.597487,6519.7
1016,44.168148,28.597487,6519.7
1021,44.168148,28.597487,6519.7
1026,44.168148,28.597487,6519.7
1031,44.168148,28.597487,6519.7
1036,44.168148,28.597487,6519.7
1041,44.168148,28.597487,6519.7
1046,44.168148,28.597487,6519.7
1051,44.168148,28.597487,6519.7
1056,44.168126,28.597502,6523.0
1061,44.168053,28.597572,6531.4
1066,44.168052,28.597573,6533.8
1071,44.168052,28.597573,6536.1
1076,44.168233,28.597531,6555.2
1081,44.168542,28.597509,6588.4
1086,44.168675,28.597485,6599.8
1091,44.168882,28.597424,6625.9
1096,44.169186,28.597359,6660.6
1101,44.169384,28.597405,6679.1
1106,44.169718,28.597618,6721.6
1111,44.169956,28.597779,6749.5
1116,44.169976,28.597855,6756.2
1121,44.170028,28.598285,6794.7
1126,44.170063,28.598878,6845.0
1131,44.170069,28.599299,6873.2
1136,44.170098,28.599775,6914.6
1141,44.170153,28.600571,6973.9
1146,44.170209,28.601256,7033.7
1151,44.170262,28.60194,7094.3
1156,44.170319,28.602705,7149.6
1161,44.170354,28.6034,7206.3
1166,44.170382,28.603864,7246.8
1171,44.170412,28.604406,7292.4
1176,44.170467,28.605139,7349.1
1181,44.170515,28.605864,7411.5
1186,44.170554,28.606687,7471.2
1191,44.170595,28.607506,7536.7
1196,44.170626,28.608219,7600.6
1201,44.170681,28.609061,7662.8
1206,44.170719,28.609635,7711.6
1211,44.170702,28.609833,7724.7
1216,44.170666,28.609926,7730.5
1221,44.170695,28.610349,7766.6
1226,44.170784,28.610971,7822.8
1231,44.170849,28.611804,7892.4
1236,44.17092,28.612793,7967.8
1241,44.170991,28.613672,8041.7
1246,44.171041,28.614703,8119.9
1251,44.171092,28.615558,8194.4
1256,44.171177,28.616463,8272.6
1261,44.171246,28.617491,8348.4
1266,44.171314,28.618345,8423.6
1271,44.171373,28.619339,8497.3
1276,44.17147,28.620295,8579.8
1281,44.171564,28.621283,8664.2
1286,44.171618,28.622462,8752.8
1291,44.171693,28.623512,8841.2
1296,44.17174,28.624322,8909.1
1301,44.171756,28.624651,8937.5
1306,44.171776,28.624952,8963.2
1311,44.171837,28.625745,9021.2
1316,44.171893,28.626693,9104.7
1321,44.171943,28.627872,9194.7
1326,44.172017,28.628858,9280.2
1331,44.172064,28.629744,9357.6
1336,44.172078,28.630585,9412.8
1341,44.172104,28.630804,9437.6
1346,44.172108,28.630815,9438.4
1351,44.172108,28.630815,9438.4
1356,44.172108,28.630815,9438.4
1361,44.172108,28.630815,9438.4
1366,44.172108,28.630815,9438.4
1371,44.172108,28.630815,9438.4
1376,44.172108,28.630815,9438.4
1381,44.172109,28.630818,9440.2
1386,44.172148,28.631073,9459.7
1391,44.172156,28.631419,9489.2
1396,44.172176,28.631624,9504.2
1401,44.172175,28.631648,9506.1
1406,44.172175,28.631648,9506.1
1411,44.172175,28.631648,9506.1
1416,44.172175,28.631648,9506.1
1421,44.172175,28.631648,9506.1
1426,44.172175,28.631648,9506.1
1431,44.172175,28.631648,9506.1
1436,44.172175,28.631648,9506.1
1441,44.172175,28.631648,9506.1
1446,44.172175,28.631648,9506.1
1451,44.172175,28.631648,9506.1
1456,44.172175,28.631648,9506.1
1461,44.172175,28.631648,9506.1
1466,44.172175,28.631648,9506.1
1471,44.172175,28.631648,9506.1
1476,44.172175,28.631648,9506.1
1481,44.172175,28.631648,9506.1
1486,44.172175,28.631648,9506.1
1491,44.172175,28.631648,9506.1
1496,44.172175,28.631648,9506.4
1501,44.172182,28.631726,9513.0
1506,44.172195,28.632084,9540.6
1511,44.172198,28.632245,9551.3
1516,44.172193,28.632248,9551.3
1521,44.172193,28.632248,9551.3
1526,44.172193,28.632248,9551.3
1531,44.172193,28.632248,9551.3
1536,44.172193,28.632248,9551.3
1541,44.172193,28.632248,9551.3
