t_rel_s,lat_deg,lon_deg,dist_cum_m
193,44.194854,28.649352,408.1
198,44.195494,28.649,480.1
203,44.195949,28.648792,531.2
208,44.196158,28.648685,556.8
213,44.196197,28.648662,561.8
218,44.196197,28.648662,561.8
223,44.196197,28.648662,562.8
228,44.196197,28.648662,562.8
233,44.196255,28.648626,570.4
238,44.196506,28.648511,598.9
243,44.196919,28.648351,644.3
248,44.197389,28.64811,706.5
253,44.197997,28.647823,779.9
258,44.198698,28.647534,850.3
263,44.199237,28.647244,918.3
268,44.199731,28.646996,975.8
273,44.199823,28.646967,987.3
278,44.199899,28.646948,997.1
283,44.200133,28.646854,1028.1
288,44.200539,28.646633,1079.9
293,44.201049,28.646392,1136.8
298,44.20152,28.646157,1187.6
303,44.202005,28.64594,1251.1
308,44.2026,28.645643,1316.7
313,44.203192,28.645367,1385.4
318,44.203711,28.645089,1448.3
323,44.20411,28.644864,1499.7
328,44.204442,28.644718,1538.5
333,44.20462,28.644607,1559.9
338,44.204667,28.644599,1564.7
343,44.20467,28.644603,1564.7
348,44.20467,28.644603,1564.7
353,44.20467,28.644603,1564.7
358,44.20467,28.644603,1564.7
363,44.20467,28.644603,1564.7
368,44.20467,28.644603,1564.7
373,44.20467,28.644603,1564.7
378,44.20467,28.644603,1564.7
383,44.20467,28.644603,1564.7
388,44.20467,28.644603,1564.7
393,44.20467,28.644603,1564.7
398,44.20467,28.644603,1564.7
403,44.204746,28.644563,1578.6
408,44.205155,28.644335,1627.4
413,44.205819,28.644026,1697.6
418,44.206423,28.643812,1772.7
423,44.207072,28.643658,1850.6
428,44.207803,28.643555,1930.4
433,44.208513,28.643448,2014.9
438,44.209284,28.643331,2092.0
443,44.20984,28.643237,2159.9
448,44.2101,28.643193,2187.3
453,44.210196,28.643189,2202.1
458,44.210639,28.643118,2248.1
463,44.21113,28.643034,2308.6
468,44.211629,28.64295,2364.6
473,44.21214,28.642877,2417.9
478,44.212665,28.642804,2479.2
483,44.21329,28.642727,2550.9
488,44.214049,28.642645,2628.0
493,44.214593,28.642531,2692.3
498,44.215065,28.642391,2746.6
503,44.215432,28.642178,2794.8
508,44.215753,28.642007,2837.3
513,44.216159,28.641515,2892.1
518,44.216559,28.640905,2963.0
523,44.216871,28.640167,3025.4
528,44.217029,28.639643,3073.1
533,44.217164,28.639154,3117.5
538,44.217303,28.638699,3159.7
543,44.217494,28.638082,3211.2
548,44.217673,28.637302,3276.5
553,44.217801,28.636779,3322.0
558,44.217852,28.636539,3345.6
563,44.217991,28.635859,3396.6
568,44.218144,28.635192,3455.5
573,44.2183,28.634542,3513.2
578,44.218447,28.633812,3576.4
583,44.218692,28.63285,3651.5
588,44.218874,28.632068,3720.8
593,44.219105,28.631335,3783.4
598,44.219528,28.630553,3862.2
603,44.22002,28.629957,3944.1
608,44.220671,28.629414,4019.2
613,44.221176,28.629186,4085.8
618,44.2218,28.629072,4154.6
623,44.222252,28.628999,4202.8
628,44.222456,28.62897,4225.7
633,44.222827,28.628905,4272.8
638,44.223563,28.628777,4345.2
643,44.22422,28.628655,4424.9
648,44.224813,28.628583,4494.0
653,44.225394,28.628241,4561.6
658,44.226024,28.627896,4636.1
663,44.226628,28.627553,4713.0
668,44.227281,28.627204,4799.3
673,44.228149,28.626866,4889.1
678,44.228845,28.626626,4980.4
683,44.229665,28.626331,5065.8
688,44.23021,28.626144,5127.2
693,44.230371,28.626081,5148.5
698,44.230735,28.625943,5187.7
703,44.231259,28.625768,5250.2
708,44.231775,28.625513,5313.6
713,44.232131,28.625307,5352.8
718,44.232361,28.625197,5380.2
723,44.232772,28.625009,5432.3
728,44.233311,28.624751,5498.9
733,44.233998,28.62446,5574.6
738,44.23464,28.624119,5655.8
743,44.23531,28.623657,5737.8
748,44.235944,28.623327,5810.7
753,44.236392,28.622961,5878.2
758,44.237045,28.622386,5953.3
763,44.237618,28.622114,6028.2
768,44.238169,28.62197,6093.8
773,44.238674,28.62183,6146.9
778,44.239045,28.6217,6190.4
783,44.239261,28.621601,6218.4
788,44.239395,28.621569,6235.3
793,44.239644,28.621496,6260.0
798,44.240042,28.621374,6309.4
803,44.240772,28.621232,6385.1
808,44.241432,28.621039,6459.3
813,44.242,28.620888,6528.0
818,44.242632,28.620674,6606.8
823,44.2435,28.620427,6697.6
828,44.24426,28.620226,6788.0
833,44.245012,28.620036,6875.1
838,44.245733,28.619859,6961.6
843,44.246516,28.61973,7042.3
848,44.247105,28.619674,7116.5
853,44.247761,28.61963,7182.4
858,44.24814,28.619602,7224.9
863,44.248326,28.619635,7249.9
868,44.248777,28.619551,7296.4
873,44.249358,28.619446,7364.7
878,44.250036,28.619368,7443.2
883,44.250743,28.619297,7518.7
888,44.251396,28.619229,7592.4
893,44.252044,28.619138,7673.1
898,44.252859,28.619058,7754.6
903,44.253459,28.618988,7825.1
908,44.254034,28.618932,7892.0
913,44.254757,28.618861,7972.4
918,44.255461,28.618804,8051.2
923,44.256083,28.618737,8126.2
928,44.256709,28.61867,8195.9
933,44.257281,28.618614,8262.9
938,44.257798,28.618559,8312.8
943,44.257997,28.618535,8336.5
948,44.258259,28.618515,8364.8
953,44.258601,28.618548,8402.9
958,44.258968,28.618503,8444.1
963,44.259144,28.618427,8464.8
968,44.259351,28.618385,8488.6
973,44.259786,28.618327,8541.0
978,44.260444,28.618252,8618.5
983,44.261416,28.618273,8716.8
988,44.26224,28.61827,8814.3
993,44.26296,28.618255,8900.7
998,44.263612,28.618257,8976.7
1003,44.2643,28.618327,9043.9
1008,44.264736,28.61832,9096.2
1013,44.265228,28.618227,9153.0
1018,44.265758,28.618195,9209.0
1023,44.266323,28.618137,9275.0
1028,44.266925,28.618058,9347.5
1033,44.267608,28.617906,9416.5
1038,44.2682,28.617788,9486.7
1043,44.268756,28.617663,9556.6
1048,44.269427,28.617547,9628.3
1053,44.269988,28.617496,9691.1
1058,44.270417,28.61749,9742.6
1063,44.270832,28.617524,9781.2
1068,44.271187,28.617523,9824.1
1073,44.271585,28.617538,9869.9
1078,44.272016,28.617563,9914.7
1083,44.272194,28.617596,9934.6
1088,44.27233,28.61763,9953.8
1093,44.272576,28.61765,9978.5
1098,44.272681,28.617672,9990.3
1103,44.272786,28.617671,10002.2
1108,44.272874,28.617652,10015.8
1113,44.273042,28.6177,10031.8
1118,44.273164,28.617716,10042.9
1123,44.273287,28.617744,10056.0
1128,44.273617,28.61779,10098.4
1133,44.274311,28.617847,10169.4
1138,44.275049,28.617788,10251.1
1143,44.27567,28.617665,10327.1
1148,44.276143,28.617598,10381.2
1153,44.276348,28.617656,10398.9
1158,44.276458,28.617633,10409.4
1163,44.276585,28.617569,10424.9
1168,44.276812,28.617499,10458.7
1173,44.277368,28.617413,10522.8
1178,44.278077,28.617337,10609.2
1183,44.279054,28.617402,10700.4
1188,44.279708,28.617539,10784.4
1193,44.280434,28.617726,10866.8
1198,44.281209,28.618007,10953.4
