ruta,fereastra_orara,timestamp_local,t_rel_s,v_kmh,rpm,maf_g_s,sarcina_motor_pct,t_lichid_racire_C,t_aer_admisie_C,t_ambiant_C,altitudine_m,p_galerie_psi,HDOP,a_ms2,dist_cum_m,stationare,clasa_RDE,segment,debit_comb_model_ml_s,comb_cum_l_model,CO2_g_s_model,CO2_g_s_stoich_MAF,debit_comb_fizic_ml_s,CO2_g_s_fizic
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:22,0,5.0,980.0,13.32,35.69,31.0,31.0,20.0,27.8,17.26,1.413360365904628,1.3101,1.4,0,urban,S1_urban_iesire,0.3155,0.0003,0.8323,2.9028,0.3807,1.0046
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:23,1,9.71651090342679,1144.0623052959502,16.601775700934578,43.021495327102805,31.0,31.14330218068536,20.0,28.72959501557632,17.92311526479751,2.5423079076008963,1.4697,4.1,0,urban,S1_urban_iesire,0.6761,0.001,1.784,3.618,0.7431,1.9607
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:24,2,15.581722319859402,1654.5206502636204,26.4870474516696,36.56256590509666,31.39543057996485,32.0,20.0,30.423198594024605,18.70471001757469,2.061286695242956,1.4113,8.4,0,urban,S1_urban_iesire,1.0711,0.0021,2.8262,5.7723,1.112,2.934
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:25,3,19.87763289869609,2087.2429789368102,35.44646940822467,34.9,32.0,32.0,20.0,30.751053159478435,19.415386158475428,2.125732462400742,1.3546,13.9,0,urban,S1_urban_iesire,1.3803,0.0034,3.642,7.7249,1.3528,3.5695
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:26,4,25.334745762711865,2189.757680084745,38.7025,38.69401483050848,32.0,32.0,20.0,31.99957627118644,20.26025423728813,1.9258564554699096,1.3206,21.0,0,urban,S1_urban_iesire,1.6824,0.0051,4.4393,8.4345,1.6733,4.4151
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:27,5,29.38562091503268,1830.7924836601308,33.167843137254906,46.13490196078432,32.0,32.0,20.0,30.99215686274509,20.940915032679737,1.7271353371571927,1.1691,29.1,0,urban,S1_urban_iesire,1.8758,0.007,4.9495,7.2283,1.7405,4.5925
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:28,6,33.75233644859813,2109.6495327102803,39.9046261682243,46.016682242990655,32.0,32.0,20.0,30.8803738317757,21.575841121495326,1.9193977533297728,1.2998,38.5,0,urban,S1_urban_iesire,2.1925,0.0092,5.7852,8.6965,2.1913,5.7819
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:29,7,38.7439120188531,2392.790848389631,46.77169677926159,46.40951296150825,32.0,32.0,20.0,30.70243519245876,22.25229379418696,2.107032354672319,1.2862,49.3,0,urban,S1_urban_iesire,2.5075,0.0117,6.6162,10.193,2.4953,6.584
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:30,8,43.01303317535545,2443.762440758293,51.137594786729856,48.73456161137441,32.20260663507109,32.0,20.0,29.23791469194313,22.63,2.3428220499063928,1.2266,61.2,0,urban,S1_urban_iesire,2.6617,0.0144,7.0233,11.1445,2.6643,7.0301
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:14:31,9,47.57519788918206,1873.1378627968336,46.08572559366755,53.59,33.0,32.0,20.0,28.94511873350924,22.33664907651715,2.371772072726703,0.8315,74.4,0,urban,S1_urban_iesire,2.3335,0.0167,6.1572,10.0435,2.1333,5.6288
