ruta,fereastra_orara,timestamp_local,segment,t_rel_s,v_kmh,a_ms2,dist_cum_m,rpm,maf_g_s,sarcina_motor_pct,CO2_g_s_benzina,CO2_g_s_diesel,stationare,clasa_RDE,strada,tip_drum_OSM,dist_map_match_m
RUTA_A,11-13,2026-04-02 11:47:57,11:47,0,0.0,0.0,0.0,795.0,2.48,2.4,0.5348,0.5405,1,urban,Bulevardul Mamaia,secondary,8.7
RUTA_A,11-13,2026-04-02 11:47:58,11:47,1,0.0,0.0,0.0,786.0,2.48,2.4,0.5348,0.5405,1,urban,Bulevardul Mamaia,secondary,8.7
RUTA_A,11-13,2026-04-02 11:47:59,11:47,2,0.0,0.0,0.0,792.0,2.532,2.6,0.546,0.5518,1,urban,Bulevardul Mamaia,secondary,8.7
RUTA_A,11-13,2026-04-02 11:48:00,11:47,3,0.0,0.0,0.0,794.0,2.551,2.8,0.5502,0.556,1,urban,Bulevardul Mamaia,secondary,8.7
RUTA_A,11-13,2026-04-02 11:48:01,11:47,4,0.0,0.0,0.0,792.0,2.535,2.8,0.5466,0.5524,1,urban,Bulevardul Mamaia,secondary,8.7
RUTA_A,11-13,2026-04-02 11:48:02,11:47,5,0.0,0.0,0.0,792.0,2.534,2.8,0.5465,0.5523,1,urban,Bulevardul Mamaia,secondary,8.7
RUTA_A,11-13,2026-04-02 11:48:03,11:47,6,0.0,0.0,0.0,793.0,2.54,2.8,0.5477,0.5535,1,urban,Strada Ștefan Mihăileanu,secondary,8.7
RUTA_A,11-13,2026-04-02 11:48:04,11:47,7,0.0,0.0,0.0,792.0,2.546,2.8,0.549,0.5548,1,urban,Strada Ștefan Mihăileanu,residential,26.3
RUTA_A,11-13,2026-04-02 11:48:05,11:47,8,0.0,0.0,0.0,792.0,2.54,2.8,0.5478,0.5536,1,urban,Strada Ștefan Mihăileanu,residential,10.3
RUTA_A,11-13,2026-04-02 11:48:06,11:47,9,0.0,0.0,0.0,795.0,2.506,2.8,0.5404,0.5461,1,urban,Strada Ștefan Mihăileanu,residential,13.0
RUTA_A,11-13,2026-04-02 11:48:07,11:47,10,0.0,0.0,0.0,794.0,2.5,2.8,0.5391,0.5448,1,urban,Strada Ștefan Mihăileanu,residential,14.2
RUTA_A,11-13,2026-04-02 11:48:08,11:47,11,0.0,0.0,0.0,789.0,2.518,2.8,0.543,0.5488,1,urban,Strada Ștefan Mihăileanu,residential,13.8
RUTA_A,11-13,2026-04-02 11:48:09,11:47,12,0.0,0.016,0.0,789.0,2.515,2.8,0.5423,0.5481,1,urban,Strada Ștefan Mihăileanu,residential,11.5
RUTA_A,11-13,2026-04-02 11:48:10,11:47,13,0.11,0.174,0.0,855.0,2.902,3.0,0.6257,0.6323,1,urban,Strada Ștefan Mihăileanu,residential,14.3
RUTA_A,11-13,2026-04-02 11:48:11,11:47,14,1.25,0.483,0.4,1500.0,6.779,5.9,1.4618,1.4773,0,urban,Strada Ștefan Mihăileanu,residential,13.1
RUTA_A,11-13,2026-04-02 11:48:12,11:47,15,3.59,0.972,1.4,1760.0,8.195,7.8,1.7671,1.7859,0,urban,Strada Ștefan Mihăileanu,residential,13.0
RUTA_A,11-13,2026-04-02 11:48:13,11:47,16,8.25,1.086,3.7,1276.0,4.875,7.8,1.0513,1.0624,0,urban,Strada Ștefan Mihăileanu,residential,13.8
RUTA_A,11-13,2026-04-02 11:48:14,11:47,17,11.41,0.754,6.8,1316.0,5.261,7.1,1.1344,1.1464,0,urban,Strada Ștefan Mihăileanu,residential,16.1
RUTA_A,11-13,2026-04-02 11:48:15,11:47,18,13.68,0.292,10.6,1670.0,7.87,6.0,1.697,1.715,0,urban,Strada Ștefan Mihăileanu,residential,19.5
RUTA_A,11-13,2026-04-02 11:48:16,11:47,19,13.52,-0.117,14.4,1425.0,5.702,4.4,1.2295,1.2425,0,urban,Strada Țepeș Vodă,residential,17.1
RUTA_A,11-13,2026-04-02 11:48:17,11:47,20,12.84,-0.415,18.0,1096.0,2.929,2.7,0.6315,0.6382,0,urban,Strada Țepeș Vodă,residential,15.4
RUTA_A,11-13,2026-04-02 11:48:18,11:47,21,10.53,-0.67,20.9,969.0,2.623,2.5,0.5657,0.5717,0,urban,Strada Țepeș Vodă,residential,15.8
RUTA_A,11-13,2026-04-02 11:48:19,11:47,22,8.01,-0.76,23.1,874.0,2.428,2.4,0.5236,0.5291,0,urban,Strada Țepeș Vodă,residential,13.0
RUTA_A,11-13,2026-04-02 11:48:20,11:47,23,5.06,-0.744,24.5,845.0,2.451,2.4,0.5287,0.5343,0,urban,Strada Țepeș Vodă,residential,11.0
RUTA_A,11-13,2026-04-02 11:48:21,11:47,24,2.66,-0.624,25.3,822.0,2.463,2.5,0.5312,0.5368,0,urban,Strada Țepeș Vodă,residential,8.4
