ruta,fereastra_orara,timestamp_local,segment,t_rel_s,v_kmh,a_ms2,dist_cum_m,rpm,maf_g_s,sarcina_motor_pct,CO2_g_s_benzina,CO2_g_s_diesel,stationare,clasa_RDE,strada,tip_drum_OSM,dist_map_match_m
RUTA_B,15-17,2026-04-02 15:28:27,15:28,0,0.0,0.0,0.0,0.0,4.9,1.6,1.0567,1.0679,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:28,15:28,1,0.0,0.0,0.0,196.0,4.9,2.2,1.0567,1.0679,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:29,15:28,2,0.0,0.0,0.0,839.0,4.9,4.3,1.0567,1.0679,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:30,15:28,3,0.0,0.0,0.0,1094.0,4.894,5.1,1.0553,1.0665,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:31,15:28,4,0.0,0.0,0.0,1090.0,4.884,5.1,1.0531,1.0643,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:32,15:28,5,0.0,0.0,0.0,1091.0,4.848,5.1,1.0454,1.0564,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:33,15:28,6,0.0,0.0,0.0,1094.0,4.798,5.1,1.0346,1.0456,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:34,15:28,7,0.0,0.0,0.0,1089.0,4.788,5.1,1.0325,1.0434,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:35,15:28,8,0.0,0.0,0.0,1079.0,4.799,5.1,1.035,1.0459,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:36,15:28,9,0.0,0.0,0.0,1092.0,4.757,5.1,1.0258,1.0367,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:37,15:28,10,0.0,0.0,0.0,1099.0,4.742,5.1,1.0226,1.0335,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:38,15:28,11,0.0,0.0,0.0,1094.0,4.776,5.1,1.0298,1.0408,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,38.6
RUTA_B,15-17,2026-04-02 15:28:39,15:28,12,0.0,0.0,0.0,1091.0,4.777,5.1,1.0302,1.0412,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,39.9
RUTA_B,15-17,2026-04-02 15:28:40,15:28,13,0.0,0.0,0.0,1088.0,4.756,5.1,1.0255,1.0364,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,41.5
RUTA_B,15-17,2026-04-02 15:28:41,15:28,14,0.0,0.0,0.0,1087.0,4.754,5.1,1.0253,1.0361,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,43.1
RUTA_B,15-17,2026-04-02 15:28:42,15:28,15,0.0,0.0,0.0,1088.0,4.759,5.1,1.0262,1.0371,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,45.3
RUTA_B,15-17,2026-04-02 15:28:43,15:28,16,0.0,0.0,0.0,1094.0,4.706,5.1,1.0149,1.0257,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,48.1
RUTA_B,15-17,2026-04-02 15:28:44,15:28,17,0.0,0.0,0.0,1095.0,4.679,5.1,1.0089,1.0196,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,50.1
RUTA_B,15-17,2026-04-02 15:28:45,15:28,18,0.0,0.0,0.0,1081.0,4.707,5.1,1.015,1.0257,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,50.4
RUTA_B,15-17,2026-04-02 15:28:46,15:28,19,0.0,0.0,0.0,1070.0,4.695,5.1,1.0124,1.0232,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,50.4
RUTA_B,15-17,2026-04-02 15:28:47,15:28,20,0.0,0.0,0.0,1062.0,4.647,5.1,1.002,1.0127,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,50.0
RUTA_B,15-17,2026-04-02 15:28:48,15:28,21,0.0,0.0,0.0,1066.0,4.665,5.1,1.006,1.0167,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,52.3
RUTA_B,15-17,2026-04-02 15:28:49,15:28,22,0.0,0.0,0.0,1072.0,4.692,5.1,1.0117,1.0224,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,54.1
RUTA_B,15-17,2026-04-02 15:28:50,15:28,23,0.0,0.0,0.0,1067.0,4.703,5.1,1.0141,1.0248,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,54.1
RUTA_B,15-17,2026-04-02 15:28:51,15:28,24,0.0,0.0,0.0,1065.0,4.701,5.1,1.0138,1.0246,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,53.3
RUTA_B,15-17,2026-04-02 15:28:52,15:28,25,0.0,0.0,0.0,1067.0,4.675,5.1,1.0081,1.0188,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,51.0
RUTA_B,15-17,2026-04-02 15:28:53,15:28,26,0.0,0.0,0.0,1068.0,4.648,5.1,1.0024,1.013,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,48.6
RUTA_B,15-17,2026-04-02 15:28:54,15:28,27,0.0,0.0,0.0,1067.0,4.642,5.0,1.0011,1.0117,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,47.8
RUTA_B,15-17,2026-04-02 15:28:55,15:28,28,0.0,0.0,0.0,1063.0,4.645,4.9,1.0018,1.0124,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,47.8
RUTA_B,15-17,2026-04-02 15:28:56,15:28,29,0.0,0.0,0.0,1060.0,4.649,4.8,1.0024,1.0131,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,47.8
RUTA_B,15-17,2026-04-02 15:28:57,15:28,30,0.0,0.0,0.0,1055.0,4.636,4.7,0.9996,1.0102,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,47.8
RUTA_B,15-17,2026-04-02 15:28:58,15:28,31,0.0,0.0,0.0,1048.0,4.61,4.7,0.994,1.0046,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,47.8
RUTA_B,15-17,2026-04-02 15:28:59,15:28,32,0.0,0.0,0.0,1042.0,4.584,4.7,0.9884,0.9989,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,47.8
RUTA_B,15-17,2026-04-02 15:29:00,15:28,33,0.0,0.0,0.0,1043.0,4.553,4.6,0.9818,0.9922,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,47.8
RUTA_B,15-17,2026-04-02 15:29:01,15:28,34,0.0,0.0,0.0,1053.0,4.517,4.5,0.9741,0.9845,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,47.8
RUTA_B,15-17,2026-04-02 15:29:02,15:28,35,0.0,0.0,0.0,1063.0,4.482,4.4,0.9665,0.9767,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,47.8
RUTA_B,15-17,2026-04-02 15:29:03,15:28,36,0.0,0.0,0.0,1064.0,4.378,4.3,0.9442,0.9542,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,46.6
RUTA_B,15-17,2026-04-02 15:29:04,15:28,37,0.0,0.0,0.0,1052.0,4.17,4.3,0.8993,0.9088,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,43.5
RUTA_B,15-17,2026-04-02 15:29:05,15:28,38,0.0,0.0,0.0,1039.0,4.007,4.3,0.8642,0.8734,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,40.7
RUTA_B,15-17,2026-04-02 15:29:06,15:28,39,0.0,0.0,0.0,1030.0,4.049,4.3,0.8731,0.8823,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,40.6
RUTA_B,15-17,2026-04-02 15:29:07,15:28,40,0.0,0.0,0.0,1025.0,4.067,4.3,0.8771,0.8864,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,40.6
RUTA_B,15-17,2026-04-02 15:29:08,15:28,41,0.0,0.0,0.0,1022.0,4.062,4.3,0.8759,0.8852,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,40.6
RUTA_B,15-17,2026-04-02 15:29:09,15:28,42,0.0,0.0,0.0,1016.0,4.037,4.3,0.8705,0.8798,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,40.6
RUTA_B,15-17,2026-04-02 15:29:10,15:28,43,0.0,0.0,0.0,1009.0,4.003,4.3,0.8633,0.8725,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,40.6
RUTA_B,15-17,2026-04-02 15:29:11,15:28,44,0.0,0.006,0.0,1003.0,4.094,5.3,0.8828,0.8921,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,40.5
RUTA_B,15-17,2026-04-02 15:29:12,15:28,45,0.05,0.088,0.0,995.0,4.185,6.2,0.9024,0.9119,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,40.5
RUTA_B,15-17,2026-04-02 15:29:13,15:28,46,0.63,0.162,0.2,984.0,4.114,5.5,0.8873,0.8967,1,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,41.0
RUTA_B,15-17,2026-04-02 15:29:14,15:28,47,1.21,0.16,0.5,1001.0,4.443,5.2,0.9581,0.9683,0,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,41.5
RUTA_B,15-17,2026-04-02 15:29:15,15:28,48,1.79,0.11,1.0,1066.0,5.46,5.4,1.1774,1.1899,0,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,41.9
RUTA_B,15-17,2026-04-02 15:29:16,15:28,49,2.0,0.03,1.6,1138.0,5.884,5.5,1.2688,1.2823,0,urban,coridor litoral Mamaia–Năvodari (în afara extractului OSM),,42.2
