traseu,vehicul,statut,clasa,distanta_km,consum_l_100km,CO2_g_km
R_A — urban central (Brătianu–Ferdinand–Mamaia),MAS benzină,măsurat,urban (≤60),11.93,11.29,266.7
R_A — urban central (Brătianu–Ferdinand–Mamaia),MAC diesel,extrapolat,urban (≤60),11.93,7.60,200.6
R_A — urban central (Brătianu–Ferdinand–Mamaia),MAS benzină,măsurat,rural (60–90),1.47,7.08,167.1
R_A — urban central (Brătianu–Ferdinand–Mamaia),MAC diesel,extrapolat,rural (60–90),1.47,3.97,104.9
R_B — radial litoral (Mamaia–Năvodari),MAS benzină,măsurat,urban (≤60),13.16,9.49,224.1
R_B — radial litoral (Mamaia–Năvodari),MAC diesel,extrapolat,urban (≤60),13.16,6.40,168.8
R_B — radial litoral (Mamaia–Năvodari),MAS benzină,măsurat,rural (60–90),4.21,7.07,166.9
R_B — radial litoral (Mamaia–Năvodari),MAC diesel,extrapolat,rural (60–90),4.21,4.43,116.9
R_DN3 — mixt (Constanța–DN3–Murfatlar),MAS benzină,extrapolat,urban (≤60),17.79,7.35,173.5
R_DN3 — mixt (Constanța–DN3–Murfatlar),MAC diesel,măsurat,urban (≤60),17.79,4.37,115.4
R_DN3 — mixt (Constanța–DN3–Murfatlar),MAS benzină,extrapolat,rural (60–90),16.59,6.26,147.8
R_DN3 — mixt (Constanța–DN3–Murfatlar),MAC diesel,măsurat,rural (60–90),16.59,4.57,120.6
R_DN3 — mixt (Constanța–DN3–Murfatlar),MAS benzină,extrapolat,autostradă (>90),9.90,6.89,162.8
R_DN3 — mixt (Constanța–DN3–Murfatlar),MAC diesel,măsurat,autostradă (>90),9.90,5.45,143.8
