GPS Time,Device Time,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Air Fuel Ratio(Measured)(:1),Ambient air temp(°C),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel flow rate/minute(gal/min),GPS Altitude(m),GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°)
Thu Apr 02 11:11:15 GMT+03:00 2026,02-apr.-2026 11:11:15.708,0.0,2.9000000953674316,52.8,61.95000076293945,0.42,4.59,8.5,0,10.98,-0.01,-,11,0,35.24,82,-,2.35,789,0,52.8,0,-,22,4.35,2.3,0.64,1.24,6.77,0,93.23,637,0,0,5.88,9
Thu Apr 02 11:11:15 GMT+03:00 2026,02-apr.-2026 11:11:16.123,0.0,2.9000000953674316,52.8,61.95000076293945,0.43,4.65,8.6,0.02,10.98,0,-,11,0,35.24,82,-,2.35,781.25,0,52.8,0,-,22,4.35,2.29,0.64,1.24,6.77,0,93.23,637,0,0,5.88,9
Thu Apr 02 11:11:16 GMT+03:00 2026,02-apr.-2026 11:11:16.382,0.0,2.9000000953674316,53.1,61.95000076293945,0.45,4.62,8.51,0.01,10.98,0,-,11,0,35.24,82,-,2.35,788.25,0,53.1,0,-,22,4.35,2.33,0.64,1.24,6.77,0,93.23,637,0,0,5.88,9
Thu Apr 02 11:11:18 GMT+03:00 2026,02-apr.-2026 11:11:18.441,0.0,2.9000000953674316,53.7,61.95000076293945,0.43,4.55,8.53,0.01,10.98,0,-,11,0,35.24,83,-,2.35,799,0,53.7,0,-,23,4.35,2.34,0.74,1.24,6.77,0,93.23,795,0,0,5.49,7
Thu Apr 02 11:11:20 GMT+03:00 2026,02-apr.-2026 11:11:20.558,0.0,2.9000000953674316,54.1,61.95000076293945,0.57,4.61,8.44,0,10.98,0,-,11,0,35.24,83,-,2.35,792.75,0,54.1,0,-,23,4.35,2.27,0.68,1.24,6.77,0,93.23,798,0,0,5.49,7
Thu Apr 02 11:11:22 GMT+03:00 2026,02-apr.-2026 11:11:22.573,0.0,2.9000000953674316,54.3,61.95000076293945,0.46,4.58,8.66,0.02,10.98,-0.01,-,11,0,35.24,83,-,2.35,789.25,0,54.3,0,-,23,4.35,2.29,0.26,1.24,6.77,0,93.23,800,0,0,5.49,7
Thu Apr 02 11:11:24 GMT+03:00 2026,02-apr.-2026 11:11:24.651,0.0,2.9000000953674316,54.8,61.95000076293945,0.43,4.64,8.61,0.02,10.98,0,-,11,0,35.24,83,-,2.35,790,0,54.8,0,-,23,4.35,2.3,0.69,1.24,6.77,0,93.23,802,0,0,5.49,7
Thu Apr 02 11:11:26 GMT+03:00 2026,02-apr.-2026 11:11:26.655,0.0,2.9000000953674316,54.6,61.95000076293945,0.39,4.61,8.32,-0.01,10.98,-0.02,-,11,0,35.24,83,-,2.35,785.75,0,54.6,0,-,23,4.35,2.33,0.6,1.24,6.77,0,93.23,804,0,0,5.49,9.5
Thu Apr 02 11:11:28 GMT+03:00 2026,02-apr.-2026 11:11:28.704,0.0,2.9000000953674316,54.4,61.95000076293945,0.49,4.64,8.57,0.01,10.98,0,-,11,0,35.24,83,-,2.35,790.5,0,54.4,0,-,23,4.35,2.28,0.12,1.24,6.77,0,93.23,806,0,0,5.49,9
Thu Apr 02 11:11:30 GMT+03:00 2026,02-apr.-2026 11:11:30.712,0.0,2.9000000953674316,54.2,61.95000076293945,0.51,4.58,8.76,0.03,10.59,-0.01,-,11,0,35.24,83,-,2.35,797.25,0,54.2,0,-,23,4.35,2.32,0.76,1.24,6.77,0,93.23,808,0,0,5.49,7
