scenariu,seed,vehicule,veh_km,CO2_g_km,NOx_mg_km,PM_mg_km
S0,1,503,2663.6,248.66,636.13,41.955
S0,2,503,2663.6,249.86,636.58,42.128
S0,3,503,2663.6,250.41,640.79,42.289
S0,4,503,2663.6,247.01,634.51,42.094
S0,5,503,2663.6,246.47,629.64,41.904
S1,1,503,2663.6,223.34,570.84,40.485
S1,2,503,2663.6,225.88,574.06,40.691
S1,3,503,2663.6,224.30,570.96,40.471
S1,4,503,2663.6,224.31,571.61,40.516
S1,5,503,2663.6,221.87,566.11,40.249
S2,1,501,2653.0,198.19,503.19,38.841
S2,2,501,2653.0,200.17,510.96,39.156
S2,3,501,2653.0,199.45,508.46,39.080
S2,4,501,2653.0,197.66,506.54,38.945
S2,5,501,2653.0,198.66,506.12,39.075
S3,1,502,2658.3,174.17,445.30,37.684
S3,2,502,2658.3,175.42,448.05,37.883
S3,3,502,2658.3,173.80,443.98,37.707
S3,4,502,2658.3,171.53,440.14,37.602
S3,5,502,2658.3,174.32,447.51,37.769
S4,1,502,2658.3,241.45,392.08,20.017
S4,2,502,2658.3,242.40,391.05,20.031
S4,3,502,2658.3,241.91,392.09,20.053
S4,4,502,2658.3,239.61,388.14,20.017
S4,5,502,2658.3,238.12,386.75,20.046
S5,1,502,2658.3,115.25,30.39,24.566
S5,2,502,2658.3,115.37,30.48,24.495
S5,3,502,2658.3,114.17,30.03,24.537
S5,4,502,2658.3,113.88,30.01,24.584
S5,5,502,2658.3,114.04,30.03,24.499
