scenariu,marime,medie,SD,delta_medie_pct,delta_SD_pct
S0,CO2 g/km,248.4827,1.7204,,
S0,NOx mg/km,635.5314,4.0262,,
S0,PM mg/km,42.0739,0.1521,,
S1,CO2 g/km,223.9407,1.4721,-9.876,0.488
S1,NOx mg/km,570.7176,2.8866,-10.197,0.427
S1,PM mg/km,40.4823,0.1577,-3.783,0.358
S2,CO2 g/km,198.8254,0.9976,-19.983,0.382
S2,NOx mg/km,507.0564,2.8850,-20.214,0.558
S2,PM mg/km,39.0194,0.1252,-7.259,0.347
S3,CO2 g/km,173.8495,1.4300,-30.034,0.555
S3,NOx mg/km,444.9947,3.1766,-29.978,0.743
S3,PM mg/km,37.7289,0.1046,-10.326,0.410
S4,CO2 g/km,240.6959,1.7859,-3.134,0.238
S4,NOx mg/km,390.0221,2.4404,-38.630,0.193
S4,PM mg/km,20.0328,0.0164,-52.386,0.162
S5,CO2 g/km,114.5434,0.7069,-53.902,0.296
S5,NOx mg/km,30.1867,0.2260,-95.250,0.042
S5,PM mg/km,24.5363,0.0394,-41.682,0.225
